Size,Type,FFT Result,FFT Cycles,FFT Time,IFFT Result,IFFT Cycles,IFFT Time
16,Normal,"[ -290.4418335 -3256.32446289j  4548.00732422-1561.11779785j
 -4510.37597656-1165.06726074j  3930.78466797+3445.79199219j
   238.48068237-2714.28955078j -2766.02294922-2667.8918457j
  -252.63867188-2345.21166992j   494.25036621 -951.69244385j
  2113.44799805+3332.54858398j  3369.45751953+1665.81970215j
   268.16503906+3602.5546875j  -2958.57958984 -678.42663574j
   849.27819824-3155.05908203j  2245.21240234+2012.72839355j
 -4064.75976562-2370.52954102j  -169.90368652 +927.69903564j]",7459,0.03452801704406738,"[ 190.27261353-367.40426636j  120.73104858-419.20739746j
 -213.77616882+688.07147217j   73.22186279-683.68145752j
  922.76300049+161.57696533j  948.69470215+406.6758728j
   -8.20477295+858.23339844j -872.01226807-522.99957275j
 -896.37817383-641.51806641j -816.46350098-989.81164551j
 -588.47143555 +64.52349854j  859.86688232+274.64178467j
  511.03387451-600.93579102j -964.12719727-797.57434082j
  994.26416016-124.43515015j -551.85650635-562.47967529j]",7491,0.03791308403015137
16,Normal2,"[ -290.4418335 -3256.32446289j  4548.00732422-1561.11779785j
 -4510.37597656-1165.06726074j  3930.78442383+3445.79223633j
   238.48068237-2714.28955078j -2766.02294922-2667.89160156j
  -252.6385498 -2345.21142578j   494.25042725 -951.69262695j
  2113.44799805+3332.54858398j  3369.45751953+1665.81970215j
   268.16503906+3602.5546875j  -2958.57983398 -678.42651367j
   849.27819824-3155.05908203j  2245.21240234+2012.72814941j
 -4064.75976562-2370.52978516j  -169.90362549 +927.69897461j]",7096,0.03769207000732422,"[ 190.27261353-367.40423584j  120.73101807-419.2074585j
 -213.77616882+688.07141113j   73.22186279-683.68139648j
  922.76300049+161.57699585j  948.69470215+406.67578125j
   -8.20483398+858.23345947j -872.0123291 -522.99951172j
 -896.37817383-641.51806641j -816.46343994-989.81170654j
 -588.47143555 +64.52355957j  859.86700439+274.64175415j
  511.03387451-600.93579102j -964.1270752 -797.57421875j
  994.26422119-124.4352417j  -551.85656738-562.47973633j]",7352,0.04079079627990723
16,Vectorized,"[ -290.4418335 -3256.32446289j  4548.00732422-1561.11767578j
 -4510.37597656-1165.06750488j  3930.78466797+3445.79199219j
   238.48068237-2714.28955078j -2766.02294922-2667.89160156j
  -252.6385498 -2345.21191406j   494.25033569 -951.69250488j
  2113.44799805+3332.54858398j  3369.45751953+1665.81958008j
   268.16503906+3602.55517578j -2958.58007812 -678.42663574j
   849.27819824-3155.05908203j  2245.21240234+2012.72814941j
 -4064.75976562-2370.52929688j  -169.90365601 +927.69909668j]",6575,0.036926984786987305,"[ 190.27255249-367.40423584j  120.7310791 -419.20742798j
 -213.77618408+688.07147217j   73.22183228-683.68145752j
  922.76300049+161.57699585j  948.69470215+406.6758728j
   -8.20474243+858.23339844j -872.01239014-522.99957275j
 -896.37805176-641.51800537j -816.46337891-989.81164551j
 -588.47149658 +64.52349854j  859.86706543+274.64172363j
  511.03387451-600.93591309j -964.12731934-797.57434082j
  994.26416016-124.43515015j -551.85650635-562.47967529j]",6576,0.034464120864868164
16,Vectorized2,"[ -290.4418335 -3256.32446289j  4548.00732422-1561.11767578j
 -4510.37597656-1165.06750488j  3930.78466797+3445.79248047j
   238.48068237-2714.28955078j -2766.02294922-2667.89160156j
  -252.63830566-2345.21166992j   494.25036621 -951.69244385j
  2113.44799805+3332.54858398j  3369.45751953+1665.81958008j
   268.16503906+3602.55517578j -2958.58007812 -678.42675781j
   849.27819824-3155.05908203j  2245.21240234+2012.72814941j
 -4064.76025391-2370.52954102j  -169.90361023 +927.69891357j]",1031,0.014256954193115234,"[ 190.27255249-367.40420532j  120.73101807-419.20742798j
 -213.77619934+688.07141113j   73.22186279-683.68139648j
  922.76300049+161.57699585j  948.69470215+406.67578125j
   -8.20480347+858.23352051j -872.01245117-522.99951172j
 -896.37805176-641.51806641j -816.46343994-989.81164551j
 -588.47149658 +64.52355957j  859.86712646+274.64175415j
  511.03387451-600.93591309j -964.12719727-797.57434082j
  994.26428223-124.43527222j -551.85656738-562.47973633j]",1058,0.013493061065673828
32,Numpy,"[  -86.01572713-2584.73361363j   557.39382881-7650.06128627j
  3697.07561882-2043.2665346j   6663.90545113+1220.87048013j
  1006.00966998-2034.70490095j  1064.29190575+2027.58103425j
  4290.46035865 +350.34779633j -4825.42135328-3178.48767615j
  4276.62962244 +307.86849211j  2693.48328345+3756.71600218j
 -4482.45942959 -329.05239434j  1068.84155689-2793.17780953j
 -1790.53578362-4247.95875584j  -272.5909696 +4020.0699631j
   737.27761466 -744.18579038j -2561.92085121  -83.11268495j
  -679.7847158 +1494.59331764j  -443.24958701-5447.3792283j
  2486.74523241+2763.28295304j  2374.81732651-5975.28323792j
  -884.26048079-2575.05466998j -3056.58087206+1265.71606081j
 -6317.03751492+5490.64354879j  4092.88146608-2078.87222227j
 -2383.89716238+4276.03417925j  1513.32904623-1665.03374431j
  4138.47953908+2866.95038534j  5202.0648162 -5289.44487687j
  2115.90767748-2354.34761328j   -90.80271145 -951.83279499j
    83.61659473-3535.36052857j  7523.74021788 +444.70675828j]",-1,2.2172927856445312e-05,"[ 866.01230214-789.8740435j   937.31494144-358.04713294j
  123.43142812-689.50885314j -843.59025214-160.17684791j
  430.16574807+863.8198365j   356.51228062-486.04379771j
  124.02104501-326.04560972j  895.08650642-147.2604469j
 -504.64631842-940.97805332j -354.55806121-191.33932351j
  581.98410085 -93.34103133j  564.57161572-497.00370152j
  730.81342972+840.04988682j -938.66160059 +66.49009289j
  417.24972913-361.04661378j -975.45712254-717.69811909j
 -477.99910751+608.69003543j  685.39857322+211.91272212j
 -366.72053079 -42.80471012j -743.67992655-717.06841302j
 -493.70690114+495.63967744j  626.59210194+758.47445012j
 -946.90660823+674.40203441j -872.09369488+317.19524223j
  313.38976132+157.37411581j  -65.93914428+697.05127177j
 -920.07996083 +90.94638558j  208.14957447-361.57276275j
 -582.29590989-361.28086133j -106.17542218 -53.19831934j
  322.387571  -671.11234374j  923.41412489-401.37838007j]",-1,8.106231689453125e-06
32,Normal,"[  -86.01571655-2584.73339844j   557.39355469-7650.06054688j
  3697.07519531-2043.26635742j  6663.90429688+1220.86914062j
  1006.0098877 -2034.70483398j  1064.29284668+2027.58056641j
  4290.46044922 +350.34765625j -4825.41992188-3178.48632812j
  4276.62890625 +307.8684082j   2693.48339844+3756.71557617j
 -4482.45996094 -329.05212402j  1068.84155273-2793.17773438j
 -1790.53564453-4247.95849609j  -272.59024048+4020.07006836j
   737.27770996 -744.18579102j -2561.91992188  -83.11230469j
  -679.7845459 +1494.59338379j  -443.24975586-5447.37890625j
  2486.74560547+2763.2824707j   2374.81738281-5975.28320312j
  -884.26062012-2575.05444336j -3056.58056641+1265.71630859j
 -6317.03662109+5490.64355469j  4092.88012695-2078.87207031j
 -2383.89648438+4276.03417969j  1513.32910156-1665.03344727j
  4138.47949219+2866.95019531j  5202.06347656-5289.44433594j
  2115.90771484-2354.34765625j   -90.80288696 -951.83325195j
    83.61633301-3535.36010742j  7523.74023438 +444.70581055j]",16038,0.06930279731750488,"[ 866.0123291 -789.87402344j  937.31481934-358.04699707j
  123.43144989-689.5088501j  -843.59008789-160.1769104j
  430.16574097+863.81970215j  356.5123291 -486.04376221j
  124.02093506-326.04553223j  895.08624268-147.26016235j
 -504.64620972-940.97784424j -354.55789185-191.3392334j
  581.98388672 -93.34112549j  564.57128906-497.00366211j
  730.81329346+840.04974365j -938.66156006 +66.49004364j
  417.24969482-361.04650879j -975.45672607-717.69775391j
 -477.99905396+608.69006348j  685.39855957+211.91259766j
 -366.72045898 -42.80462646j -743.6796875 -717.0682373j
 -493.70687866+495.63967896j  626.59197998+758.4743042j
 -946.90643311+674.40197754j -872.09356689+317.19485474j
  313.38967896+157.3739624j   -65.9392395 +697.05102539j
 -920.07983398 +90.94638062j  208.14956665-361.57263184j
 -582.2958374 -361.28057861j -106.17559814 -53.19831085j
  322.38751221-671.11230469j  923.41387939-401.37841797j]",16102,0.07315874099731445
32,Normal2,"[  -86.01571655-2584.73339844j   557.39355469-7650.06054688j
  3697.07519531-2043.26635742j  6663.90429688+1220.86962891j
  1006.0098877 -2034.70483398j  1064.29260254+2027.58056641j
  4290.46044922 +350.34790039j -4825.42089844-3178.48632812j
  4276.62890625 +307.8684082j   2693.4831543 +3756.71582031j
 -4482.45898438 -329.05212402j  1068.84204102-2793.17773438j
 -1790.53564453-4247.95849609j  -272.59011841+4020.06958008j
   737.27770996 -744.1854248j  -2561.9206543   -83.11297607j
  -679.7845459 +1494.59338379j  -443.24975586-5447.37890625j
  2486.74560547+2763.2824707j   2374.81835938-5975.28320312j
  -884.26062012-2575.05444336j -3056.58056641+1265.71630859j
 -6317.03759766+5490.64355469j  4092.88085938-2078.87255859j
 -2383.89648438+4276.03417969j  1513.3293457 -1665.03369141j
  4138.47851562+2866.95019531j  5202.06445312-5289.44482422j
  2115.90771484-2354.34765625j   -90.80300903 -951.83276367j
    83.61685181-3535.36035156j  7523.74023438 +444.70721436j]",15327,0.06753182411193848,"[ 866.0123291 -789.87402344j  937.31481934-358.04699707j
  123.43144989-689.50878906j -843.58990479-160.17681885j
  430.16571045+863.81982422j  356.51229858-486.04379272j
  124.02090454-326.04553223j  895.08660889-147.26014709j
 -504.64620972-940.97790527j -354.55801392-191.33920288j
  581.98388672 -93.34104919j  564.57128906-497.00378418j
  730.81347656+840.04980469j -938.66131592 +66.4900589j
  417.24975586-361.04656982j -975.45703125-717.69805908j
 -477.99914551+608.69006348j  685.39855957+211.91265869j
 -366.72039795 -42.8046875j  -743.67987061-717.06829834j
 -493.70684814+495.63964844j  626.59179688+758.47412109j
 -946.90649414+674.40203857j -872.09368896+317.19512939j
  313.38967896+157.37402344j  -65.93911743+697.05090332j
 -920.07983398 +90.94636536j  208.14959717-361.57250977j
 -582.29602051-361.2807312j  -106.17559814 -53.19817352j
  322.38751221-671.11236572j  923.4140625 -401.37835693j]",15847,0.08108782768249512
32,Vectorized,"[  -86.01571655-2584.73339844j   557.39349365-7650.06054688j
  3697.07519531-2043.26635742j  6663.90429688+1220.86914062j
  1006.00994873-2034.70483398j  1064.29260254+2027.58056641j
  4290.46044922 +350.34765625j -4825.41992188-3178.48583984j
  4276.62890625 +307.8684082j   2693.4831543 +3756.71557617j
 -4482.45898438 -329.05212402j  1068.84179688-2793.17773438j
 -1790.53564453-4247.95849609j  -272.59039307+4020.06958008j
   737.27783203 -744.18603516j -2561.91943359  -83.11306763j
  -679.7845459 +1494.59338379j  -443.24957275-5447.37890625j
  2486.74560547+2763.2824707j   2374.81713867-5975.28320312j
  -884.26068115-2575.05444336j -3056.58056641+1265.71630859j
 -6317.03662109+5490.64355469j  4092.87988281-2078.87255859j
 -2383.89697266+4276.03417969j  1513.32885742-1665.03344727j
  4138.47949219+2866.95019531j  5202.06396484-5289.44433594j
  2115.90771484-2354.34765625j   -90.8026886  -951.83276367j
    83.61621094-3535.35986328j  7523.73974609 +444.70657349j]",8135,0.04175972938537598,"[ 866.0123291 -789.87402344j  937.31481934-358.04693604j
  123.43145752-689.50878906j -843.59008789-160.17694092j
  430.16574097+863.81976318j  356.51223755-486.04370117j
  124.02099609-326.04559326j  895.08648682-147.26016235j
 -504.64627075-940.97790527j -354.55792236-191.33920288j
  581.98394775 -93.34108734j  564.5713501 -497.00363159j
  730.81329346+840.04968262j -938.66131592 +66.4900589j
  417.24966431-361.04650879j -975.45654297-717.69793701j
 -477.99905396+608.69006348j  685.39855957+211.91265869j
 -366.7204895  -42.80465698j -743.6796875 -717.0682373j
 -493.7069397 +495.63970947j  626.59191895+758.47424316j
 -946.90637207+674.4019165j  -872.09368896+317.19491577j
  313.38961792+157.37402344j  -65.93922424+697.05102539j
 -920.07977295 +90.94637299j  208.14953613-361.57272339j
 -582.2958374 -361.28063965j -106.17559814 -53.19828033j
  322.38754272-671.11230469j  923.41369629-401.378479j  ]",8136,0.038304805755615234
32,Vectorized2,"[  -86.01571655-2584.73339844j   557.39349365-7650.06054688j
  3697.07519531-2043.26635742j  6663.90429688+1220.86987305j
  1006.00994873-2034.70483398j  1064.2923584 +2027.58056641j
  4290.45996094 +350.34790039j -4825.42089844-3178.48681641j
  4276.62890625 +307.8684082j   2693.48291016+3756.71557617j
 -4482.45898438 -329.05224609j  1068.84204102-2793.17749023j
 -1790.53564453-4247.95849609j  -272.590271  +4020.06958008j
   737.27770996 -744.1854248j  -2561.92089844  -83.11294556j
  -679.7845459 +1494.59338379j  -443.24957275-5447.37890625j
  2486.74560547+2763.2824707j   2374.81811523-5975.28320312j
  -884.26068115-2575.05444336j -3056.58007812+1265.71630859j
 -6317.03710938+5490.64355469j  4092.88085938-2078.87255859j
 -2383.89697266+4276.03417969j  1513.32910156-1665.03344727j
  4138.47851562+2866.95019531j  5202.06445312-5289.44433594j
  2115.90771484-2354.34765625j   -90.80284882 -951.83276367j
    83.61691284-3535.36035156j  7523.74023438 +444.7069397j ]",2077,0.01697254180908203,"[ 866.0123291 -789.87402344j  937.31481934-358.04702759j
  123.43148041-689.50878906j -843.59002686-160.17684937j
  430.1656189 +863.81976318j  356.51220703-486.04382324j
  124.02093506-326.04553223j  895.08654785-147.26022339j
 -504.64620972-940.97796631j -354.55801392-191.33920288j
  581.98388672 -93.34104156j  564.57128906-497.00372314j
  730.81341553+840.04980469j -938.66137695 +66.49006653j
  417.24969482-361.04656982j -975.45697021-717.69818115j
 -477.99914551+608.69006348j  685.39855957+211.91275024j
 -366.72039795 -42.8046875j  -743.67974854-717.06835938j
 -493.70681763+495.63970947j  626.59179688+758.47424316j
 -946.90643311+674.40203857j -872.09362793+317.19515991j
  313.38967896+157.37408447j  -65.93911743+697.05102539j
 -920.07983398 +90.94635773j  208.14956665-361.57263184j
 -582.29595947-361.2807312j  -106.17544556 -53.19820786j
  322.38763428-671.11236572j  923.41400146-401.37835693j]",2126,0.021305561065673828
64,Numpy,"[ 3.97895696e+03-5245.76462253j -1.37281366e+03-4408.99812136j
  1.33066403e+04+7653.06197336j -1.26473527e+03-2610.79555304j
  4.95683164e+02+5653.81842859j -3.55614318e+03+6237.75163424j
  4.14494752e+03 -543.76724914j -6.47161902e+03-1251.90304629j
 -6.81457691e+03-4470.51507271j  1.84689885e+03-8453.32353814j
  2.54369656e+03+3789.82938345j -3.43567496e+03+5470.32648026j
 -2.10231051e+03  +62.80409054j -5.22546730e+03 -288.1308252j
  1.14720523e+03 -262.87543025j  5.06799076e+03 +422.57982165j
  2.97831140e+03+5094.31387577j  5.62592376e+03-2406.7048516j
 -1.22794803e+03+1059.28347785j -2.89478575e+03-2597.21676448j
  4.29799192e+03-8197.0775036j   3.11489110e+03+1582.41046768j
 -2.19267265e+03-4745.75741512j -1.19621992e+02-7896.90548315j
 -2.32126216e+03-5727.2936763j  -1.49405783e+03+5481.3645664j
  1.07446757e+03+3123.9387775j   5.05946750e+03+2261.74137733j
  5.57342026e+03-2091.29571273j -2.03590267e+03+4501.96301198j
  2.39586640e+02-9002.09225981j -5.18917524e+02 -259.70038009j
 -2.82586530e+03+2042.72705163j  2.44814639e+03+4080.68009171j
 -5.93509746e+03-2287.45386485j  5.82009748e+03-3837.79805668j
 -1.59589948e+03+2601.51125739j -7.23959791e+03+4615.38360129j
  7.23297732e+02 -207.9368323j  -1.35482631e+03+1548.73221338j
  2.85006421e+03+2995.81001629j  3.14760264e+03 +589.79374011j
  2.99968139e+03 +881.04138148j -4.85248930e+02+2948.34050876j
  6.77983677e+03-6923.88665123j  9.55661128e+02-9468.45382481j
 -1.93561524e+03 +490.51767086j  1.93615954e+03-2448.29830557j
 -7.74250413e+00+7424.33612301j  4.58805501e+03+2266.62644655j
  2.42845921e+03-8202.4069394j  -3.03076485e+03+4438.64530181j
  1.59481157e+03-4438.52935816j -2.09176095e+03 +512.97966285j
  1.02042246e+04-5128.77194987j -1.15862157e+04 +435.76411114j
 -2.96781034e+03-2138.19333103j  9.40851468e+03+2553.78495614j
 -3.81362564e+03-4769.84078511j -1.96706982e+03-2525.3001418j
  8.31271478e+03+4724.37951046j  4.14216523e+03-1636.39242318j
  1.90686550e+03+1674.62657261j -5.37560596e+03 -464.11122052j]",-1,2.5987625122070312e-05,"[ 554.3934616 -401.82224384j   66.77296693-188.50751566j
 -564.8634459  +76.82916678j  759.53187476-221.42254922j
  484.76577581-137.97140914j -281.12999822+998.3263063j
 -205.44664556-955.54155793j -270.2733371 -413.07717798j
 -600.10321328+448.95322697j  780.73860031-443.96093984j
 -398.42342575+254.35065505j -220.31852416-509.32150625j
  489.2417579 +932.36914884j  -34.33405375-110.49624057j
 -989.32033918-304.25428112j -725.27758818+690.35358069j
 -304.91286148+636.39428142j  536.60956898+220.39862336j
    5.11046843 -16.42110676j  647.71048249-841.57602226j
  286.51635063-866.42296941j -165.03568029-860.87397566j
  695.96920641-678.7218666j  -102.01160388-820.65154123j
 -447.14468474+976.25464634j  298.3964472 +229.99615115j
  887.43905315-177.6076861j   362.5694477 -884.52192448j
 -337.75154394+191.22336985j   92.44876264+288.04295647j
  851.79553615 -85.86398278j  944.4202577 +669.04076255j
  815.62019672-382.91085189j  565.97804516+297.10978121j
 -453.96449501+150.32525853j  443.3391166 +828.41718662j
   -5.06874125+644.47126821j  887.24428075+656.21899315j
   91.71533097-596.38635034j  359.16085804+350.29747819j
 -883.01189316-270.13663945j -474.53887943-740.77568237j
 -488.60947755-963.92693618j -436.85620604+737.59757694j
  235.22766082+491.21788364j  461.24786966-172.4050085j
  621.07035186+811.49247702j -882.08880224-799.28993367j
   74.04444265-391.2146591j  -660.07944015-713.27852513j
   94.94655452-483.72687407j  452.39835848-908.82490976j
   79.38187483+665.21875871j -393.03474227  +2.14756689j
 -897.99331322-893.60279588j -749.72279256-730.61528096j
  149.87397187-618.59021493j   93.76005768-338.58243733j
 -107.66762956-639.46344723j  439.53522256 +60.94110574j
  439.84258363+411.86951076j  508.66732232-198.96949682j
  403.87296264+572.09743519j   96.58323973+224.01676136j]",-1,1.239776611328125e-05
